Shape: (285, 45)
Columns (45):
   0: episode_index
   1: frame_index
   2: timestamp
   3: L_sh_pitch
   4: L_sh_roll
   5: L_sh_yaw
   6: L_el_pitch
   7: L_el_roll
   8: L_wr_yaw
   9: L_wr_pitch
  10: R_sh_pitch
  11: R_sh_roll
  12: R_sh_yaw
  13: R_el_pitch
  14: R_el_roll
  15: R_wr_yaw
  16: R_wr_pitch
  17: state_L_sh_pitch
  18: state_L_sh_roll
  19: state_L_sh_yaw
  20: state_L_el_pitch
  21: state_L_el_roll
  22: state_L_wr_yaw
  23: state_L_wr_pitch
  24: state_R_sh_pitch
  25: state_R_sh_roll
  26: state_R_sh_yaw
  27: state_R_el_pitch
  28: state_R_el_roll
  29: state_R_wr_yaw
  30: state_R_wr_pitch
  31: gripper_L
  32: gripper_R
  33: eeL_x
  34: eeL_y
  35: eeL_z
  36: eeL_roll
  37: eeL_pitch
  38: eeL_yaw
  39: eeR_x
  40: eeR_y
  41: eeR_z
  42: eeR_roll
  43: eeR_pitch
  44: eeR_yaw

     episode_index  frame_index  timestamp  L_sh_pitch  L_sh_roll  L_sh_yaw  L_el_pitch  L_el_roll  L_wr_yaw  L_wr_pitch  R_sh_pitch  R_sh_roll  R_sh_yaw  R_el_pitch  R_el_roll  R_wr_yaw  R_wr_pitch  state_L_sh_pitch  state_L_sh_roll  state_L_sh_yaw  state_L_el_pitch  state_L_el_roll  state_L_wr_yaw  state_L_wr_pitch  state_R_sh_pitch  state_R_sh_roll  state_R_sh_yaw  state_R_el_pitch  state_R_el_roll  state_R_wr_yaw  state_R_wr_pitch  gripper_L  gripper_R    eeL_x    eeL_y    eeL_z  eeL_roll  eeL_pitch   eeL_yaw    eeR_x     eeR_y    eeR_z  eeR_roll  eeR_pitch   eeR_yaw
10               0           10   0.333300    0.479103   0.004763  0.010572    0.455449  -0.021814  0.014061   -0.069236   -0.485317  -0.009647  0.015260   -0.486304   0.021052 -0.010422   -0.008478          0.478020         0.004794        0.009346          0.463302        -0.021553        0.015068         -0.075341         -0.481471        -0.011313        0.013161         -0.490005         0.022316       -0.010491         -0.008202   0.000000   0.000000 0.329765 0.220128 0.759709 -0.022810  -0.045862 -0.024075 0.329342 -0.232131 0.759046  0.005389   0.007291  0.001486
11               0           11   0.366700    0.479152   0.004938  0.010231    0.455445  -0.022308  0.014422   -0.068711   -0.485469  -0.009118  0.014938   -0.486155   0.020685 -0.009797   -0.008336          0.478020         0.004794        0.009346          0.463302        -0.021553        0.015068         -0.074960         -0.481471        -0.011313        0.013161         -0.490005         0.022316       -0.010109         -0.008202   0.000000   0.000000 0.329755 0.220246 0.759614 -0.023001  -0.045292 -0.024205 0.329283 -0.232024 0.758942  0.005643   0.007458  0.000898
12               0           12   0.400000    0.479634   0.005796  0.010260    0.455586  -0.021760  0.015104   -0.069047   -0.485835  -0.008736  0.014740   -0.486022   0.020995 -0.009688   -0.007300          0.478020         0.004794        0.009346          0.463302        -0.021553        0.015068         -0.074197         -0.481471        -0.011313        0.013161         -0.490005         0.022316       -0.010491         -0.008202   0.000000   0.000000 0.329614 0.220231 0.759576 -0.021729  -0.045276 -0.025373 0.329161 -0.231910 0.758910  0.006385   0.006921  0.000782
13               0           13   0.433300    0.479991   0.006141  0.010263    0.455666  -0.021401  0.015340   -0.069969   -0.485826  -0.008407  0.014741   -0.485884   0.021520 -0.009616   -0.007311          0.478020         0.004794        0.009346          0.463302        -0.021553        0.015068         -0.072290         -0.481471        -0.011313        0.013161         -0.490005         0.022316       -0.010109         -0.007820   0.000000   0.000000 0.329502 0.220236 0.759633 -0.021080  -0.045913 -0.025789 0.329154 -0.231882 0.758845  0.007201   0.007057  0.000560
14               0           14   0.466700    0.481333   0.006396  0.009836    0.455267  -0.020381  0.015209   -0.075722   -0.485146  -0.008182  0.014436   -0.485844   0.022182 -0.009743   -0.008687          0.478020         0.004794        0.009346          0.463302        -0.021553        0.015450         -0.072290         -0.481471        -0.011313        0.013161         -0.490005         0.022316       -0.010109         -0.007820   0.000000   0.000000 0.329031 0.220478 0.759890 -0.019678  -0.049899 -0.025373 0.329362 -0.231702 0.758838  0.008204   0.007788  0.000870
15               0           15   0.500000    0.481741   0.005657  0.008575    0.454610  -0.021455  0.014532   -0.076187   -0.484611  -0.009435  0.012649   -0.485789   0.018527 -0.009873   -0.007245          0.478020         0.004794        0.009346          0.463302        -0.021553        0.015450         -0.072671         -0.481471        -0.011313        0.013161         -0.490005         0.022316       -0.010109         -0.007820   0.000000   0.000000 0.328872 0.221046 0.759541 -0.020825  -0.049309 -0.023141 0.329553 -0.231069 0.759232  0.004274   0.005917  0.003124
16               0           16   0.533300    0.481312   0.004557  0.007484    0.454613  -0.023636  0.014005   -0.073190   -0.484477  -0.010258  0.011673   -0.485676   0.016322 -0.009951   -0.005879          0.478020         0.004794        0.009346          0.463302        -0.021553        0.015450         -0.073053         -0.481471        -0.011313        0.013161         -0.490005         0.022316       -0.010109         -0.007820   0.000000   0.000000 0.329021 0.221475 0.759217 -0.023450  -0.046777 -0.021019 0.329605 -0.230739 0.759450  0.001795   0.004563  0.004428
17               0           17   0.566700    0.480811   0.003090  0.005747    0.455767  -0.028898  0.014591   -0.067631   -0.484575  -0.011090  0.009608   -0.484587   0.009584 -0.008283    0.002580          0.478020         0.004794        0.009346          0.463302        -0.022698        0.015068         -0.072290         -0.481471        -0.011313        0.013161         -0.490005         0.020027       -0.010109         -0.006676   0.000000   0.000000 0.329256 0.221987 0.759004 -0.029196  -0.042972 -0.019138 0.329541 -0.230205 0.760254 -0.004706  -0.002630  0.004960
18               0           18   0.600000    0.480772   0.002906  0.005375    0.455859  -0.029685  0.014830   -0.067115   -0.484166  -0.010945  0.008791   -0.483708   0.006375 -0.006694    0.004362          0.478020         0.004794        0.009346          0.463302        -0.024605        0.015450         -0.072290         -0.481471        -0.011313        0.013161         -0.490005         0.017357       -0.010109         -0.005913   0.000000   0.000000 0.329275 0.222095 0.758975 -0.029979  -0.042605 -0.018924 0.329627 -0.230076 0.760294 -0.007401  -0.003922  0.004033
19               0           19   0.633300    0.480294   0.002372  0.004687    0.455503  -0.031414  0.015307   -0.066304   -0.483970  -0.010734  0.007761   -0.482705   0.002052 -0.004533    0.011476          0.478020         0.004794        0.009346          0.463302        -0.028038        0.015450         -0.071527         -0.481471        -0.011313        0.012779         -0.490005         0.011635       -0.009728         -0.001717   0.000000   0.000000 0.329411 0.222267 0.758856 -0.031871  -0.041958 -0.018447 0.329632 -0.229922 0.761015 -0.011055  -0.010213  0.002768
